species,n_date,n_loc
Bolboschoenus maritimus,2673,895
Boletus edulis,1225,901
Boletus erythropus,1291,549
Boletus reticulatus,464,312
Bolitophagus reticulatus,884,340
Boloria selene,1318,94
Bombus campestris,1409,1321
Bombus hortorum,2122,1758
Bombus hypnorum,2472,1796
Bombus jonellus,605,461
Bombus lapidarius,3089,2003
Bombus lucorum,614,783
Bombus muscorum,1114,303
Bombus pascuorum,3623,2083
Bombus pratorum,2394,1932
Bombus ruderarius,422,163
Bombus sylvestris,657,464
Bombus terrestris,4080,2096
Bombus vestalis,710,647
Bombycilla garrulus,1402,887
Bombylius discolor,352,224
Bombylius major,881,741
Borago officinalis,2596,1747
Borkhausenia fuscescens,389,288
Borkhausenia italica,1003,702
Borkhausenia nefrax,502,129
Bos taurus,3591,909
Botaurus stellaris,5045,1023
Botrychium lunaria,779,69
Bovista plumbea,516,327
Bovistella utriformis,2628,1192
Brachmia blandella,356,374
Brachycarenus tigrinus,330,237
Brachypalpoides lenta,504,411
Brachypodium sylvaticum,2218,301
Brachythecium albicans,1742,931
Brachythecium rutabulum,3912,1855
Brachytron pratense,1373,1609
Branta bernicla,5474,865
Branta canadensis,5844,1851
Branta hutchinsii,846,395
Branta leucopsis,5843,1638
Branta ruficollis,3914,824
Brassica napus,1189,681
Brassica napus × rapa,631,509
Brassica nigra,2478,1193
Brassica oleracea,1139,664
Brassica rapa,3387,1646
Briza media,1491,490
Bromius obscurus,409,269
Bromus hordeaceus,2321,1935
Bromus inermis,478,141
Bromus racemosus,399,213
Bromus secalinus,382,154
Bromus sitchensis,570,221
Bromus sterilis,2594,1595
Bromus tectorum,1192,364
Brumus quadripustulatus,3537,1499
Brunnera macrophylla,683,419
Bryonia dioica,2918,673
Bryophila domestica,748,354
Bryostigma phaeophysciae,335,224
Bryotropha basaltinella,661,357
Bryum argenteum,2073,1061
Buathra laborator,310,276
Bubo bubo,2897,414
Bubulcus ibis,4047,977
Buccinum undatum,2687,321
Bucculatrix frangutella,664,393
Bucculatrix thoracella,445,293
Bucculatrix ulmella,397,262
Bucephala albeola,1919,62
Bucephala clangula,4993,1039
Buddleja davidii,3353,1197
Buellia aethalea,638,314
Buellia griseovirens,969,523
Bufo bufo,4677,1948
Bulgaria inquinans,1244,645
Bunias orientalis,376,66
Bupalus piniaria,1026,890
Buteo buteo,5844,2130
Buteo lagopus,2636,1087
Butomus umbellatus,2340,1406
Buxus sempervirens,384,254
Byrsinus flavicornis,327,68
Byssomerulius corium,982,574
Cabera exanthemata,2141,1636
Cabera pusaria,2009,1566
Cabomba caroliniana,362,85
Cacoecimorpha pronubana,1826,1089
Caenis horaria,763,696
Caenis luctuosa,339,309
Caenis robusta,602,538
Cairina moschata,356,159
Cakile maritima,3222,331
Calamagrostis arenaria,3449,249
Calamagrostis canescens,1782,833
Calamagrostis epigejos,3582,1359
Calamia tridens,481,292
Calamotropha paludella,892,859
Calathus fuscipes,549,287
Calathus melanocephalus,334,177
Calcarius lapponicus,1271,347
Calcipostia guttulata,653,229
Calendula officinalis,1549,974
Caliadurgus fasciatellus,611,538
Calidris alba,4752,514
Calidris alpina,5093,1025
Calidris canutus,3989,589
Calidris falcinellus,450,115
Calidris ferruginea,2532,513
Calidris maritima,4361,213
Calidris melanotos,1107,193
Calidris minuta,2183,511
Calidris pugnax,5683,1145
Calidris temminckii,1406,524
Calla palustris,1700,206
Calliergon cordifolium,539,313
Calliergonella cuspidata,2712,1314
Calliphora vicina,2199,1382
Calliphora vomitoria,788,526
Calliteara pudibunda,2241,1541
Callitriche obtusangula,1722,929
Callitriche platycarpa,702,566
Callonetta leucophrys,651,261
Callophrys rubi,1462,552
Calloria urticae,465,230
Calluna vulgaris,5086,1107
Caloboletus radicans,304,116
Calocera cornea,1982,1208
Calocera viscosa,2765,965
Calocybe gambosa,530,778
Calodromius bifasciatus,363,212
Calodromius spilotus,602,370
Calogaya decipiens,1194,659
Calogaya pusilla,2570,1256
Calophasia lunula,847,485
Caloplaca chlorina,336,246
Caloplaca obscurella,423,231
Calopteryx splendens,2451,1368
Calopteryx virgo,1623,219
Caloptilia alchimiella,522,367
Caloptilia robustella,373,271
Caloptilia stigmatella,442,300
Calosoma inquisitor,562,800
Caltha palustris,3673,1440
Calvatia gigantea,1766,1113
Calvia decemguttata,2156,1019
Calvia quatuordecimguttata,2308,1261
Calypogeia fissa,482,276
Calystegia sepium,1202,1179
Cameraria ohridella,1769,883
Campaea margaritaria,1997,1708
Campanula glomerata,339,287
Campanula persicifolia,1714,1014
Campanula portenschlagiana,1322,517
Campanula poscharskyana,2813,939
Campanula rapunculoides,1712,804
Campanula rapunculus,1911,769
Campanula rotundifolia,2933,960
Campanula trachelium,2001,791
Camptogramma bilineata,2087,1928
Campyloneura virgula,817,1155
Campylopus flexuosus,918,428
Campylopus introflexus,3198,1109
Campylopus pyriformis,1051,490
